"lang","de"
"sprache_griechisch","Griechisch"
"sprache_gujarati","Gujarati"
"sprache_hausa","Hausa"
"sprache_hebräisch","Hebräisch"
"sprache_hindi","Hindi"
"sprache_igbo","Igbo"
"sprache_indonesisch","Indonesisch"
"sprache_isländisch","Isländisch"
"sprache_italienisch","Italienisch"
"sprache_japanisch","Japanisch"
"sprache_javanisch","Javanisch"
"sprache_kannada","Kannada"
"sprache_kikongo","Kikongo"
"sprache_koreanisch","Koreanisch"
"sprache_krio","Krio"
"sprache_kroatisch","Kroatisch"
"sprache_kurdisch","Kurdisch"
"sprache_lamnso","Lamnso"
"sprache_lettisch","Lettisch"
"sprache_lingala","Lingala"
"sprache_litauisch","Litauisch"
"sprache_maltesisch","Maltesisch"
"sprache_marathi","Marathi"
"sprache_mazedonisch","Mazedonisch"
"sprache_mongolisch","Mongolisch"
"sprache_niederlaendisch","Niederländisch"
"sprache_norwegisch","Norwegisch"
"sprache_russisch","Russisch"
"sprache_paschto","Paschto"
"sprache_persisch","Persisch"
"sprache_pidgin","Pidgin"
"sprache_polnisch","Polnisch"
"sprache_portugiesisch","Portugiesisch"
"sprache_punjabi","Punjabi"
"sprache_romanes","Romanes"
"sprache_rumaenisch","Rumänisch"
"sprache_serbisch","Serbisch"
"sprache_singhalesisch","Singhalesisch"
"sprache_schwedisch","Schwedisch"
"sprache_slowakisch","Slowakisch"
"sprache_slowenisch","Slowenisch"
"sprache_somali","Somali"
"sprache_sotho","Sotho"
"sprache_spanisch","Spanisch"
"sprache_swahili","Swahili"
"sprache_tamilisch","Tamil"
"sprache_telugu","Telugu"
"sprache_thailaendisch","Thai"
"sprache_tigrinya","Tigrinya"
"sprache_tschechisch","Tschechisch"
"sprache_tuerkisch","Türkisch"
"sprache_twi","Twi"
"sprache_ukrainisch","Ukrainisch"
"sprache_ungarisch","Ungarisch"
"sprache_urdu","Urdu"
"sprache_weissrussisch","Weißrussisch"
"sprache_wolof","Wolof"
"sprache_vietnamesisch","Vietnamesisch"
"sprache_yoruba","Yoruba"
"sprache_zulu","Zulu"
"sprache_gebaerdensprache","Gebärdensprache"
"releaseDataset","Anzeige aktiviert"
"releaseDataset_Title","%s-Sprach-Tandem - Anzeige aktivieren"
"deleteDataset_button_yes","Ja"
"deleteDataset_button_no","Nein"
"deleteDataset","Anzeige gelöscht"
"deleteDataset_Title","%s-Sprach-Tandem - Soll Ihre Anzeige wirklich gelöscht werden?"
"editDataset","Die Änderungen an deiner Anzeige wurden übernommen."
"editDataset_Title","%s-Sprach-Tandem - Anzeige bearbeiten"
"Report_Title","%-Sprach-Tandem - Anzeige melden"
"Statistik_Title","%-Sprach-Tandem - Statistik"
"Title","%s-Sprach-Tandem"
"Report_Form_email","Ihre Emailadresse (optional)"
"Report_Form_email_nochmal","Email-Adresse wiederholen"
"Report_Form_name","Ihr Name (optional)"
"Report_Form_text","Bitte beschreiben Sie uns, warum Sie diese Anzeige melden möchten"
"Report_Form_senden","senden"
"Report_textabove","Das %s-Sprach-Tandem möchte einen diskriminierungsfreien Austausch ermöglichen. Sollten Sie negative Erfahrungen machen, melden Sie sich bitte bei uns."
"Report_gesendet","Nachricht gesendet!"
"Report_nichtGesendet","Nachricht gesendet!"
"Report_zurück","zurück"
"Report_email_subject","%s-Sprach-Tandem - Anzeige gemeldet"
"Report_email","Hallo,

es wurde eine Anzeige gemeldet:

von: %s

email: %s

Begründung: %s

Diese Anzeige wurde gemeldet:
%s (%s)

%s"
"Reminder_email","Hallo %s,

Wir wünschen Ihnen weiterhin viel Erfolg und viel Spaß beim %s-Sprach-Tandem!

Welche Erfahrungen haben Sie mit dem Sprach-Tandem gemacht? Sie können uns ihre Erfahrungen mitteilen:
%s

Sie können Ihr Angebot unter dem folgenden Link löschen:
%s

Sie können Ihr Angebot unter dem folgenden Link bearbeiten:
%s

Bei Fragen und Anregungen können Sie sich bei uns melden: %s

Beste Grüße

%s-Sprach-Tandem-Team"
"Reminder_subject","%s-Sprach-Tandem: Ihre Anzeige"
"Edit_ok","Daten gespeichert"
"Feedback_title","Erfahrungsbericht"
"Feedback_intro","Erzählen Sie uns, welche Erfahrungen Sie mit dem Sprach-Tandem gemacht haben:"
"Feedback_frage1","Haben Sie eine eigene Anzeige beim Sprach-Tandem aufgegeben?"
"Feedback_frage2","Hat sich eine Person auf Ihre Anzeige gemeldet?"
"Feedback_frage3","Haben Sie auf eine Anzeige beim Sprach-Tandem geantwortet?"
"Feedback_frage4","War die Kommunikation respektvoll?"
"Feedback_frage5","Haben Sie sich mit einer Person für ein Sprach-Tandem getroffen?"
"Feedback_frage6","Sind die Treffen mit Sprach-Tandem-Partner*innen gut gelaufen?"
"Feedback_frage7","Wenn Sie wollen, können Sie mehr zu den Erfahrungen schreiben:"
"Feedback_frage8","Wo haben Sie sich mit Ihren Sprach-Tandem-Partner*innen getroffen?"
"Feedback_senden","senden"
